Street,Avg_Latitude,Avg_Longitude,Total_Incidents,Avg_Congestion,Max_Congestion,Total_Injured,Point_Count
EAST 62 STREET,40.76248,-73.96297,17,0.08,0.16,0,7
EAST 177 STREET,40.837883,-73.876664,11,0.07,0.16,0,5
PITKIN AVENUE,39.655973,-72.038597,52,0.04,0.16,0,40
MOSHOLU PARKWAY,40.884606,-73.884803,25,0.05,0.16,0,17
EAST 86 STREET,40.760022,-73.950011,17,0.08,0.16,0,7
EAST 42 STREET,40.731274,-73.967427,22,0.07,0.16,0,10
BAYCHESTER AVENUE,40.884591,-73.839717,26,0.08,0.16,0,11
WHITE PLAINS ROAD,40.866914,-73.860485,48,0.05,0.16,0,29
YELLOWSTONE BOULEVARD,40.723549,-73.852206,15,0.05,0.16,0,10
FULTON STREET,40.682772,-73.93398,115,0.06,0.16,0,64
CROSS BRONX EXPRESSWAY,40.836801,-73.874292,36,0.04,0.16,0,26
WEST 207 STREET,35.027441,-63.359275,22,0.1,0.16,0,7
BAISLEY BOULEVARD,40.679713,-73.776155,36,0.07,0.16,0,17
EAST 132 STREET,40.805588,-73.926599,12,0.13,0.16,0,3
WEST 42 STREET,40.757726,-73.990971,26,0.08,0.16,0,10
COLUMBIA STREET,40.687486,-74.000842,14,0.04,0.16,0,10
PARK AVENUE,40.170786,-72.859162,100,0.05,0.16,0,68
OCEAN AVENUE,40.626423,-73.96077,47,0.06,0.16,0,26
NAGLE AVENUE,40.861565,-73.924863,12,0.06,0.16,0,6
REMSEN AVENUE,40.649489,-73.91629,44,0.06,0.16,0,22
EAST 96 STREET,37.065875,-67.223325,20,0.06,0.16,0,11
UNION AVENUE,40.741907,-73.936918,25,0.06,0.16,0,14
7 AVENUE,40.212112,-73.045511,105,0.04,0.16,0,79
WEST 147 STREET,40.825772,-73.944875,10,0.08,0.16,0,4
BEACH CHANNEL DRIVE,39.525324,-71.851305,49,0.04,0.16,0,38
EAST 116 STREET,40.798315,-73.940898,21,0.07,0.16,0,9
METROPOLITAN AVENUE,39.891766,-72.391289,74,0.05,0.16,0,49
JAMAICA AVENUE,40.70404,-73.802499,102,0.04,0.16,0,74
MARCY AVENUE,40.694419,-73.950288,39,0.04,0.16,0,28
WEST 158 STREET,40.834411,-73.943811,8,0.06,0.16,0,4
65 STREET,40.637056,-73.981701,55,0.06,0.16,0,28
CLOVE ROAD,38.586874,-70.400187,31,0.05,0.16,0,20
JAY STREET,40.699583,-73.989255,17,0.05,0.13,0,10
SCHENECTADY AVENUE,40.665917,-73.933562,32,0.04,0.13,0,24
MORRIS AVENUE,40.836969,-73.912729,50,0.05,0.13,0,30
NOSTRAND AVENUE,40.044196,-72.828668,121,0.06,0.13,0,66
UTOPIA PARKWAY,40.747239,-73.792413,22,0.04,0.13,0,17
SNYDER AVENUE,40.649595,-73.938669,30,0.04,0.13,0,21
HORACE HARDING EXPRESSWAY,39.33604,-71.267733,36,0.04,0.13,0,29
RIDGEWOOD AVENUE,40.669606,-73.910439,14,0.05,0.13,0,9
SOUTHERN BOULEVARD,39.324812,-71.152866,39,0.04,0.13,0,27
WEST 165 STREET,40.837428,-73.936391,12,0.05,0.13,0,7
18 AVENUE,38.942375,-70.891169,28,0.04,0.13,0,24
59 STREET,40.66598,-73.968491,13,0.04,0.13,0,9
BERGEN STREET,40.677893,-73.95072,29,0.05,0.13,0,18
ESSEX STREET,36.176558,-65.730335,14,0.05,0.13,0,9
31 STREET,38.033398,-69.004265,27,0.06,0.13,0,15
ARNOW AVENUE,40.86792,-73.855395,11,0.05,0.13,0,7
GRAND AVENUE,40.755071,-73.915595,37,0.04,0.13,0,27
TODT HILL ROAD,40.600947,-74.11376,6,0.06,0.13,0,3
JACKSON AVENUE,40.777962,-73.927614,27,0.04,0.13,0,19
FRANCIS LEWIS BOULEVARD,40.716716,-73.760548,63,0.04,0.13,0,44
MERRICK BOULEVARD,39.886461,-72.315681,81,0.05,0.13,0,51
ARTHUR AVENUE,40.853352,-73.889275,7,0.06,0.13,0,4
MARCUS GARVEY BOULEVARD,40.691295,-73.939683,34,0.07,0.13,0,16
THOMSON AVENUE,40.745088,-73.936496,6,0.06,0.13,0,3
UNION TURNPIKE,40.724756,-73.79124,46,0.04,0.13,0,35
17 AVENUE,40.620133,-73.992853,19,0.05,0.13,0,13
WEST 86 STREET,40.787544,-73.974681,10,0.06,0.13,0,5
