Latitude,Longitude,Street,Incident_Count,Injured,Killed,Congestion_Index,Last_Incident_Date
40.78924,-73.97295,Unknown,2,0,0,0.42,2026-03-30T00:00:00.000
40.68655,-74.008125,BROOKLYN BATTERY TUNNEL,2,0,0,0.42,2026-04-11T00:00:00.000
40.686306,-73.79391,SUTPHIN BLVD,2,0,0,0.42,2026-04-07T00:00:00.000
40.63145,-73.88708,ROCKAWAY PKWY,2,0,0,0.42,2026-04-10T00:00:00.000
40.80941,-73.880295,HALLECK ST,2,0,0,0.42,2026-04-14T00:00:00.000
40.860336,-73.89829,GRAND CONC,2,0,0,0.42,2026-04-10T00:00:00.000
40.67619,-73.90809,EASTERN PKWY,2,0,0,0.42,2026-04-14T00:00:00.000
40.72766,-73.92938,BROOKLYN QUEENS EXPRESSWAY,2,0,0,0.42,2026-04-10T00:00:00.000
40.75496,-73.853836,114 ST,2,0,0,0.42,2026-03-30T00:00:00.000
40.651337,-73.97031,Unknown,2,0,0,0.42,2026-04-01T00:00:00.000
40.680016,-73.877426,ATLANTIC AVE,2,0,0,0.42,2026-03-31T00:00:00.000
40.802822,-73.930405,HARLEM RIVER DRIVE,2,0,0,0.42,2026-04-04T00:00:00.000
40.849453,-73.906,E TREMONT AVE,2,0,0,0.42,2026-04-03T00:00:00.000
40.689735,-73.72674,CROSS ISLAND PARKWAY,2,0,0,0.42,2026-04-05T00:00:00.000
40.748158,-73.97032,E 41 ST,2,0,0,0.42,2026-04-10T00:00:00.000
40.668648,-73.928345,EASTERN PKWY,2,0,0,0.42,2026-04-12T00:00:00.000
40.535835,-74.19377,HUGUENOT AVE,2,0,0,0.42,2026-04-10T00:00:00.000
40.62499,-74.14403,FOREST AVE,2,0,0,0.42,2026-04-03T00:00:00.000
40.65477,-74.00708,GOWANUS EXPY (BQE),2,0,0,0.42,2026-04-14T00:00:00.000
40.852818,-73.82738,BRUCKNER BOULEVARD,2,0,0,0.42,2026-04-06T00:00:00.000
40.801754,-73.931206,E 125 ST,2,0,0,0.42,2026-04-03T00:00:00.000
40.845177,-73.91416,JEROME AVE,2,0,0,0.42,2026-04-03T00:00:00.000
40.69819,-73.9619,CLASSON AVE,2,0,0,0.42,2026-04-13T00:00:00.000
40.813587,-73.931046,E 138 ST,2,0,0,0.42,2026-03-26T00:00:00.000
40.868706,-73.88471,BEDFORD PARK BLVD,2,0,0,0.42,2026-04-10T00:00:00.000
40.785492,-73.984116,HENRY HUDSON PARKWAY,2,0,0,0.42,2026-04-14T00:00:00.000
40.59987,-74.00839,BELT PARKWAY,2,0,0,0.42,2026-03-22T00:00:00.000
40.747433,-73.92547,39 ST,2,0,0,0.42,2026-04-11T00:00:00.000
