Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.827800,-73.865420,WATSON AVE,0,1,0
40.744186,-73.991870,W 25 ST,0,1,0
40.829773,-73.892080,Unknown,0,1,0
40.835125,-73.945510,W 158 ST,0,1,0
40.829185,-73.928760,EAST 161 STREET,0,2,0
40.731277,-73.871570,WOODHAVEN BLVD,0,1,0
40.696140,-73.852830,WOODHAVEN BLVD,0,1,0
40.820972,-73.892840,E 163 ST,0,1,0
40.573708,-73.990715,W 24 ST,0,1,0
40.702553,-73.925804,Unknown,0,1,0
40.770570,-73.835490,ULMER ST,0,1,0
40.756878,-73.987160,Unknown,0,1,0
40.795210,-73.942245,Unknown,0,1,0
40.725563,-73.879650,80 ST,0,1,0
40.765156,-73.918540,Unknown,0,1,0
40.812073,-73.936035,E 135 ST,0,1,0
40.822018,-73.947570,Unknown,0,1,0
40.883076,-73.848310,Unknown,0,1,0
40.665794,-73.746400,BELT PARKWAY,0,1,0
40.755505,-73.922905,38 ST,0,1,0
40.700302,-73.743225,Unknown,0,1,0
40.835667,-73.882286,Unknown,0,1,0
40.601852,-73.949875,AVENUE T,0,1,0
40.857970,-73.887690,Unknown,0,1,0
40.655922,-74.008280,Unknown,0,1,0
40.868620,-73.829460,Unknown,0,1,0
40.692470,-73.759415,192 ST,0,1,0
40.652900,-73.866720,ERSKINE ST,0,1,0
40.789020,-73.802124,160 ST,0,1,0
40.810677,-73.951940,Unknown,0,1,0
40.586570,-74.092050,HYLAN BLVD,0,1,0
40.721320,-73.985750,Unknown,0,1,0
40.678078,-73.726010,130 AVE,0,1,0
40.823040,-73.881930,BRUCKNER EXPRESSWAY,0,1,0
40.889053,-73.818040,Unknown,0,1,0
40.669560,-73.850110,149 AVE,0,1,0
40.665955,-73.757960,BELT PKWY,0,2,0
40.812073,-73.936035,MADISON AVENUE BRIDGE PED & BI P,0,1,0
40.754900,-73.745480,CROSS ISLAND PARKWAY,0,1,0
40.681297,-73.934715,LEWIS AVE,0,1,0
40.693600,-73.803430,Unknown,0,1,0
40.559930,-74.200340,WEST SHORE EXPRESSWAY,0,1,0
40.616707,-73.978455,BAY PKWY,0,1,0
40.716434,-73.981580,DELANCEY ST,0,1,0
40.740840,-73.726810,CROSS ISLAND PARKWAY,0,1,0
40.577710,-74.117570,RICHMOND RD,0,1,0
40.827960,-73.868150,Unknown,0,1,0
40.744812,-73.898940,Unknown,0,1,0
40.629143,-73.923130,E 55 ST,0,1,0
40.669865,-73.950500,EASTERN PKWY,0,1,0
40.750294,-73.994840,W 31 ST,0,1,0
40.656540,-73.913910,Unknown,0,1,0
40.666912,-73.822010,150 AVE,0,1,0
40.873383,-73.889370,BEDFORD PARK BLVD W,0,1,0
40.599697,-73.948520,AVENUE U,0,1,0
40.872870,-73.904780,Unknown,0,1,0
40.741657,-73.868210,Unknown,0,1,0
40.711945,-73.873375,Unknown,0,1,0
40.724160,-73.988754,Unknown,0,1,0
40.732464,-74.001660,Unknown,0,1,0
40.738170,-73.977600,1 AVE,0,1,0
40.771782,-73.979195,CENTRAL PARK W,0,2,0
40.678860,-73.851265,Unknown,0,1,0
40.824936,-73.900140,Unknown,0,2,0
40.770560,-73.917500,GRAND CENTRAL PKWY,0,1,0
40.579250,-74.077805,FATHER CAPODANNO BLVD,0,1,0
40.729465,-73.872505,60 DR,0,1,0
40.747490,-73.888160,Unknown,0,1,0
40.750385,-73.726990,Unknown,0,1,0
40.752487,-73.826890,CHERRY AVE,0,1,0
40.786550,-73.952550,E 96 ST,0,1,0
40.684050,-73.932130,Unknown,0,1,0
40.665916,-73.925460,E NEW YORK AVE,0,1,0
40.656326,-73.869370,Unknown,0,1,0
40.666180,-73.905970,BLAKE AVE,0,1,0
40.750343,-73.983180,W 37 ST,0,1,0
40.765266,-73.815160,NORTHERN BLVD,0,1,0
40.823020,-73.882706,BRUCKNER EXPY,0,1,0
40.686226,-73.912390,BUSHWICK AVE,0,1,0
40.824970,-73.922280,E 158 ST,0,1,0
40.789284,-73.840940,9 AVE,0,1,0
40.725933,-73.994650,LAFAYETTE ST,0,1,0
40.608310,-74.011330,Unknown,0,1,0
40.608253,-73.897835,BELT PARKWAY,0,1,0
40.769110,-73.963165,E 70 ST,0,1,0
40.847897,-73.924990,MAJOR DEEGAN EXPRESSWAY,0,1,0
40.587807,-73.948970,Unknown,0,1,0
40.742256,-74.000700,W 18 ST,0,1,0
40.832535,-73.857970,CROSS BRONX EXPY,0,1,0
40.653137,-73.921210,Unknown,0,1,0
40.874687,-73.886500,E 204 ST,0,1,0
40.833954,-73.863850,LELAND AVE,0,1,0
40.720375,-74.003260,CANAL ST,0,1,0
40.637035,-73.982660,Unknown,0,1,0
40.847816,-73.830505,Unknown,0,1,0
40.795254,-73.973206,W 96 ST,0,1,0
40.846066,-73.918570,Unknown,0,1,0
40.676342,-73.910930,ROCKAWAY AVE,0,1,0
40.801860,-73.920860,Unknown,0,1,0
40.820988,-73.894905,E 163 ST,0,1,0
40.846830,-73.897040,E TREMONT AVE,0,1,0
40.701077,-73.940420,SUMNER PL,0,2,0
40.719520,-73.853160,EXETER ST,0,1,0
40.509045,-74.246900,AMBOY RD,0,1,0
40.682148,-73.982860,3 AVE,0,1,0
40.699333,-73.951070,Unknown,0,1,0
40.624810,-73.971100,Unknown,0,1,0
40.755030,-73.986640,W 41 ST,0,1,0
40.613506,-73.954090,OCEAN AVE,0,1,0
40.881123,-73.870360,Unknown,0,1,0
40.708782,-73.912290,WOODWARD AVE,0,1,0
40.798656,-73.961480,W 106 ST,0,1,0
40.696873,-73.792480,Unknown,0,1,0
40.842472,-73.852036,Unknown,0,1,0
40.581448,-73.852160,BEACH CHANNEL DR,0,1,0
40.860565,-73.905710,AQUEDUCT AVE E,0,1,0
40.791664,-73.964680,W 96 ST,0,1,0
40.643745,-73.970085,CONEY ISLAND AVE,0,1,0
40.642254,-73.927414,E 52 ST,0,1,0
40.757828,-73.849014,SHEA RD,0,1,0
40.653442,-73.936386,LINDEN BLVD,0,1,0
40.743450,-73.988190,E 26 ST,0,1,0
40.842240,-73.871370,Unknown,0,1,0
40.616610,-73.969540,Unknown,0,1,0
40.578358,-73.990500,NEPTUNE AVE,0,1,0
40.757233,-73.989790,W 42 ST,0,2,0
40.874810,-73.881490,E MOSHOLU PKWY N,0,1,0
40.819878,-73.857765,SEWARD AVE,0,1,0
40.828297,-73.935190,HARLEM RIVER DRIVE,0,1,0
40.715910,-73.803460,Unknown,0,1,0
40.880108,-73.902270,W 233 ST,0,1,0
40.635270,-74.117200,Unknown,0,1,0
40.755410,-73.838420,VAN WYCK EXPWY,0,1,0
40.629910,-74.110000,FOREST AVE,0,1,0
40.730198,-73.887560,GRAND AVE,0,1,0
40.834280,-73.873634,E 174 ST,0,1,0
40.805836,-73.966400,Unknown,0,1,0
