Link_ID,Street_Segment_Name,Borough,Sequence,Latitude,Longitude,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Label,Speed_Category
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,7,40.804931,-73.831821,32.93,141.0,2017-05-05T10:25:54.000,Normal,Moderate traffic
4456496,BWB S Toll Plaza - Queens Anchorage,Bronx,8,40.799250,-73.828251,32.93,141.0,2017-05-05T10:25:54.000,Normal,Moderate traffic
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,1,40.824950,-73.836211,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,2,40.823670,-73.836020,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,3,40.820261,-73.835941,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,4,40.818880,-73.835951,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,5,40.815550,-73.836280,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,6,40.812750,-73.836270,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,7,40.812431,-73.836211,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,8,40.811390,-73.835710,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616310,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,9,40.797150,-73.826570,11.18,368.0,2017-05-05T10:21:49.000,Normal,Heavy congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,1,40.846430,-73.932130,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,2,40.845890,-73.930331,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,3,40.845160,-73.927390,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,4,40.844780,-73.925401,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,5,40.844711,-73.924120,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,6,40.844780,-73.922460,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,7,40.844891,-73.920450,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,8,40.845110,-73.915340,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,9,40.845131,-73.911940,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,10,40.845110,-73.910811,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616309,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,11,40.845030,-73.909371,8.7,459.0,2017-05-05T10:21:49.000,Normal,Severe congestion
