Borough,Street_Segment_Name,Segment_Count,Average_Speed_MPH,Minimum_Speed_MPH,Maximum_Speed_MPH,Average_Travel_Time_Seconds,Latest_Data_As_Of,Representative_Latitude,Representative_Longitude,Most_Recent_Speed_Category
Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL,1,16.16,16.16,16.16,281.0,2017-05-05T10:26:50.000,40.846526,-73.925145,Heavy congestion
Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL,1,14.91,14.91,14.91,285.0,2017-05-05T10:26:49.000,40.846803,-73.924613,Heavy congestion
Brooklyn,BQE N ATLANTIC AVENUE - LEONARD STREET,1,0.0,0.0,0.0,0.0,2017-04-27T14:07:03.000,40.696778,-68.843906,Severe congestion
Brooklyn,BQE N LEONARD STREET - 46TH STREET,1,29.83,29.83,29.83,234.0,2017-05-05T10:26:51.000,40.696778,-73.920829,Moderate traffic
Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET,1,42.25,42.25,42.25,164.0,2017-05-05T10:26:51.000,40.681663,-74.070385,Free flow
Brooklyn,BQE S 46TH STREET - LEONARD STREET,1,11.81,11.81,11.81,580.0,2017-05-05T10:26:51.000,40.722817,-73.939088,Heavy congestion
Brooklyn,BQE S LEONARD STREET - ATLANTIC AVENUE,1,0.0,0.0,0.0,0.0,2017-04-27T14:07:03.000,40.696832,-73.997064,Severe congestion
Brooklyn,GOW N 7TH AVENUE - 9TH STREET,1,11.18,11.18,11.18,1132.0,2017-05-05T10:21:49.000,40.636848,-74.01886,Heavy congestion
Brooklyn,GOW N 92ND STREET - 7TH AVENUE,1,29.83,29.83,29.83,141.0,2017-05-05T10:26:51.000,40.625985,-74.01929,Moderate traffic
Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE,1,11.18,11.18,11.18,330.0,2017-05-05T10:26:51.000,40.681529,-74.123911,Heavy congestion
Brooklyn,GOW S 7TH AVENUE - 92ND STREET,1,47.85,47.85,47.85,90.0,2017-05-05T10:26:51.000,40.626017,-74.019482,Free flow
Brooklyn,GOW S 9TH STREET - 7TH AVENUE,1,1.24,1.24,1.24,6754.0,2017-05-04T20:11:50.000,40.637087,-74.019227,Severe congestion
Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL,1,39.77,39.77,39.77,53.0,2017-05-05T10:25:54.000,40.612398,-74.030955,Free flow
Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL,1,42.87,42.87,42.87,50.0,2017-05-05T10:25:54.000,40.612293,-74.030851,Free flow
Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL,1,44.12,44.12,44.12,106.0,2017-05-05T10:25:54.000,40.60643,-74.044694,Free flow
Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL,1,39.77,39.77,39.77,117.0,2017-05-05T10:25:54.000,40.606494,-74.044733,Free flow
Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET,1,44.74,44.74,44.74,48.0,2017-05-05T10:26:51.000,40.611855,-74.030845,Free flow
Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET,1,39.77,39.77,39.77,54.0,2017-05-05T10:26:51.000,40.611953,-74.030903,Free flow
Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL,1,42.25,42.25,42.25,111.0,2017-05-05T10:25:54.000,40.606959,-74.043957,Free flow
Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL,1,47.22,47.22,47.22,99.0,2017-05-05T10:25:54.000,40.606588,-74.044781,Free flow
Manhattan,11th ave n ganservoort - 12th ave @ 40th st,1,8.08,8.08,8.08,645.0,2017-05-05T10:21:49.000,40.750123,-68.852984,Severe congestion
Manhattan,11th ave s ganservoort - west st @ spring st,1,21.13,21.13,21.13,156.0,2017-05-05T10:21:49.000,40.734298,-74.010392,Moderate traffic
Manhattan,12th Ave N 40th - 57th St,1,9.94,9.94,9.94,300.0,2017-05-05T10:21:49.000,40.766622,-74.098227,Severe congestion
Manhattan,12th Ave S 57th St - 45th St,1,13.05,13.05,13.05,171.0,2017-05-05T10:21:49.000,40.769012,-73.995559,Heavy congestion
Manhattan,12th ave @ 45th - 11 ave ganservoort st,1,8.7,8.7,8.7,677.0,2017-05-05T10:21:49.000,40.755592,-74.00428,Severe congestion
Manhattan,BBT E Manhattan Portal - Toll Plaza,1,3.73,3.73,3.73,1070.0,2017-05-05T09:57:54.000,40.694716,-74.011652,Severe congestion
